number_id,date_time,epoch,loss_train,loss_validate,maps_train,maps_validate
8,2021-01-14 02:54:43.150468,82,2.589471484801566,4.650321861366173,"[0.4429551661014557, 0.4139222502708435, 0.3782230019569397, 0.3329649567604065, 0.281337708234787, 0.22067387402057648, 0.14793096482753754, 0.07384078949689865, 0.01753176748752594, 0.0006702860118821263]","[0.2530692219734192, 0.22221939265727997, 0.18979516625404358, 0.15418703854084015, 0.11730723083019257, 0.07899913936853409, 0.04727794975042343, 0.022391285747289658, 0.0047465176321566105, 6.572304118890315e-05]"
29,2021-01-14 02:59:44.032608,34,2.6373557930407316,4.713323144169597,"[0.35054680705070496, 0.32463309168815613, 0.29239967465400696, 0.2539735734462738, 0.20604829490184784, 0.1535893678665161, 0.09361910820007324, 0.04004862159490585, 0.007611972279846668, 0.0003124559298157692]","[0.22933921217918396, 0.20180407166481018, 0.1740310937166214, 0.14136460423469543, 0.11160379648208618, 0.07708419859409332, 0.04409608617424965, 0.01909838430583477, 0.0032333682756870985, 5.588859858107753e-05]"
27,2021-01-14 03:00:55.375621,41,2.796618439840234,4.925605560277964,"[0.32949012517929077, 0.30273857712745667, 0.2737698256969452, 0.2375306338071823, 0.19235444068908691, 0.14231206476688385, 0.08877041935920715, 0.03829965740442276, 0.007832439616322517, 0.00025104821543209255]","[0.21541456878185272, 0.19017967581748962, 0.15917707979679108, 0.12914852797985077, 0.0972176119685173, 0.06542077660560608, 0.03399711102247238, 0.011929032392799854, 0.0018335683271288872, 3.798973193624988e-05]"
8,2021-01-14 03:02:49.104638,83,2.6010323046713837,4.63067821093968,"[0.44768935441970825, 0.4152068495750427, 0.37557974457740784, 0.3258799910545349, 0.2715799808502197, 0.20854035019874573, 0.13633975386619568, 0.06639473885297775, 0.015761729329824448, 0.00045264599611982703]","[0.2565174996852875, 0.22227242588996887, 0.18661747872829437, 0.1510118693113327, 0.11426194757223129, 0.07787007093429565, 0.04532966390252113, 0.019247334450483322, 0.0036429744213819504, 6.603313522646204e-05]"
29,2021-01-14 03:11:59.753369,35,2.5815801181655,4.693274950052237,"[0.3601263463497162, 0.33498892188072205, 0.29851433634757996, 0.2567221522331238, 0.20890960097312927, 0.15291771292686462, 0.09307678788900375, 0.039824143052101135, 0.008393412455916405, 0.0003368326579220593]","[0.23700709640979767, 0.20973901450634003, 0.17842024564743042, 0.14089098572731018, 0.1033567413687706, 0.07071556150913239, 0.04058874398469925, 0.016187936067581177, 0.002513570012524724, 6.648899579886347e-05]"
8,2021-01-14 03:13:06.287429,84,2.573973363222078,4.685893244557566,"[0.44832730293273926, 0.4181671738624573, 0.3821173310279846, 0.3372490406036377, 0.28167903423309326, 0.21729592978954315, 0.14527735114097595, 0.07229015976190567, 0.017259279265999794, 0.000570800038985908]","[0.2516973912715912, 0.21681173145771027, 0.1835464984178543, 0.15174277126789093, 0.1131003126502037, 0.07550772279500961, 0.04697231203317642, 0.023024149239063263, 0.005758969113230705, 7.506655674660578e-05]"
27,2021-01-14 03:14:37.884300,42,2.758042667914128,4.852673128053739,"[0.3438534438610077, 0.31910496950149536, 0.2902294397354126, 0.2526324391365051, 0.20610150694847107, 0.15652543306350708, 0.10288026183843613, 0.05059536546468735, 0.012139944359660149, 0.0004946604021824896]","[0.2267886847257614, 0.19479301571846008, 0.16462160646915436, 0.13253960013389587, 0.10133282095193863, 0.0680905133485794, 0.041116029024124146, 0.01810881495475769, 0.0031511406414210796, 9.493915422353894e-05]"
8,2021-01-14 03:22:30.164615,85,2.5358741967252985,4.677809241530183,"[0.44571542739868164, 0.41759300231933594, 0.3814641237258911, 0.33909207582473755, 0.2887120842933655, 0.2242734134197235, 0.1538168489933014, 0.07795826345682144, 0.018997929990291595, 0.0005276155425235629]","[0.24690203368663788, 0.21270783245563507, 0.18190541863441467, 0.14571048319339752, 0.11023247241973877, 0.07676268368959427, 0.044679027050733566, 0.01952124573290348, 0.0036171518731862307, 0.00015320969396270812]"
29,2021-01-14 03:23:14.664705,36,2.5430478189302526,4.602983276565354,"[0.364768922328949, 0.339591920375824, 0.3047110438346863, 0.2661033570766449, 0.22090454399585724, 0.16987566649913788, 0.10871537029743195, 0.05116245895624161, 0.011065209284424782, 0.00031981198117136955]","[0.23646852374076843, 0.20907077193260193, 0.17888513207435608, 0.14340123534202576, 0.108729287981987, 0.0780806615948677, 0.04470125213265419, 0.016221575438976288, 0.003505505621433258, 5.5718497605994344e-05]"
27,2021-01-14 03:27:16.285288,43,2.771760746361553,4.8371597482012465,"[0.3337867856025696, 0.31005507707595825, 0.2793782353401184, 0.2415817528963089, 0.19619545340538025, 0.1470237821340561, 0.09569339454174042, 0.04561762139201164, 0.010772241279482841, 0.0004476062022149563]","[0.22301027178764343, 0.19791972637176514, 0.16531895101070404, 0.13445580005645752, 0.10178059339523315, 0.07023989409208298, 0.04559663310647011, 0.01884683221578598, 0.0034273280762135983, 0.000105483595689293]"
